2.24506,1.39052,1.95231
2.60586,1.61635,2.22797
3.05911,1.89082,2.5697
3.59367,2.22117,2.95356
4.12425,2.53878,3.3347
4.7654,2.93557,3.78601
5.52608,3.39889,4.30144
6.39554,3.93039,4.87963
7.27358,4.45254,5.45432
8.45112,5.17568,6.21634
9.70588,5.93073,7.01325
10.9971,6.70036,7.82167
12.6031,7.68585,8.8211
14.2111,8.67973,9.82098
15.9446,9.73869,10.8845
17.7085,10.7825,11.9396
19.7497,12.067,13.2144
21.6051,13.1985,14.3432
23.8102,14.57,15.7006
25.9298,15.8951,17.0177
28.093,17.2367,18.356
30.2167,18.5822,19.6848
32.4664,19.9764,21.0569
34.6585,21.3561,22.4209
36.9221,22.8021,23.8521
39.2004,24.2176,25.2509
41.5538,25.7165,26.7562
43.7593,27.1387,28.1732
46.0785,28.6032,29.619
48.5676,30.2122,31.2164
50.8604,31.671,32.6797
53.2241,33.1629,34.1508
55.4784,34.6514,35.6349
58.1291,36.4263,37.384
60.5361,37.8907,38.8506
62.8477,39.4432,40.3952
65.1903,40.9927,41.9458
67.4932,42.4648,43.408
70.2201,44.3178,45.2576
72.5484,45.8112,46.7508
74.846,47.273,48.2174
77.5499,49.1004,50.0117
79.7868,50.6279,51.541
82.3118,52.2762,53.2019
84.7278,53.8599,54.7839
87.1504,55.3985,56.3056
89.6634,57.0899,58.0275
92.1625,58.7913,59.6974
94.5339,60.3419,61.2621
96.8881,61.8577,62.7863
99.5167,63.6666,64.5883
101.819,65.1786,66.0885
104.476,67.0154,67.9321
106.811,68.522,69.4452
109.311,70.2247,71.1496
111.694,71.7936,72.6986
114.246,73.4351,74.3505
116.702,75.0903,76.0154
119.267,76.8436,77.7775
121.91,78.6379,79.5411
124.179,80.3267,81.2442
126.573,81.8358,82.7724
129.311,83.8278,84.7301
131.769,85.5379,86.4506
133.988,86.7984,87.7323
136.608,88.5955,89.5258
139.257,90.3859,91.3003
141.253,91.7508,92.6791
143.959,93.5421,94.4936
146.351,95.1906,96.1263
148.978,97.0058,97.9448
151.415,98.6705,99.6176
153.669,100.213,101.16
156.377,102.002,102.947
158.522,103.379,104.319
161.341,105.308,106.275
163.883,107.202,108.179
166.539,108.865,109.824
168.918,110.576,111.514
171.124,112.005,112.969
173.664,113.914,114.859
176.238,115.467,116.422
178.769,117.272,118.236
181.323,119.038,120.02
183.755,120.586,121.558
186.373,122.501,123.442
188.618,124.038,125.016
191.156,125.838,126.817
193.329,127.304,128.282
196.28,129.277,130.24
